
##Rare
Icon|Name|Rarity|Type|Max HP|Max Atk|Max Def|Passive Skill|Link Skill
-|:-:|:-:|:-:|:-:|:-:|:-:|:-:|-
[](#wc-16-1)|[Android #16 - Ironclad Intentions ](http://i.imgur.com/IScUosB.jpg)| R | [PHY](/phy) | 5974 | 3664 | 3894 | Temporarily increase ATK by 2000 when attacked | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Mechanical Menaces](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Gentleman](/r/DBZDokkanBattle/wiki/characters "+2 Ki")
[](#wc-16)|[Android #16 - Nature-loving Warrior](http://i.imgur.com/PRaeGFD.jpg)| R | [TEQ](/teq) | 5362 | 3403 | 2823 | Prevent negative status effects | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Mechanical Menaces](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Gentleman](/r/DBZDokkanBattle/wiki/characters "+2 Ki")
[](#wc-17)|[Android #17 - Escalating Threat](http://i.imgur.com/uTZyfox.jpg) | R | [PHY](/phy) | 4788 | 3061 | 3821 | Disable opponent's guard | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Twin Terrors](/r/DBZDokkanBattle/wiki/characters "+2 Ki"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%")
[](#wc-17-1)|[Android #17 - Free at Last](http://i.imgur.com/UI25ltD.jpg) | R | [AGL](/agl) | 5782 | 3935 | 2999 | ATK+1000 when Ki is 5 or more | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Twin Terrors](/r/DBZDokkanBattle/wiki/characters "+2 Ki"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%")
[](#wc-18-1)|[Android #18 - Cold Analytics](http://imgur.com/lcCY4ON)| R | [PHY](/phy) | 4708 | 3628 | 3751 | ATK+1000 when Ki is 5 or more | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Twin Terrors](/r/DBZDokkanBattle/wiki/characters "+2 Ki"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%"), [Battlefield Diva](/r/DBZDokkanBattle/wiki/characters "Ki +2")
[](#wc-18)|[Android #18 - Fancy Footwork](http://i.imgur.com/UUxGzAX.jpg) | R | [AGL](/agl) | 4838 | 3687 | 2868 | Damage reduced by 30% when guard is activated | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Twin Terrors](/r/DBZDokkanBattle/wiki/characters "+2 Ki"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%"), [Battlefield Diva](/r/DBZDokkanBattle/wiki/characters "Ki +2")
[](#wc-19)|[Android #19 - Cold-blooded Vandalism](http://i.imgur.com/Q7bYpfF.jpg) | R | [PHY](/phy) | 6136 | 3857 | 2976 | ATK +1500 when Ki Meter is 10 or more | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF")
[](#wc-19-1)|[Android #19 - Killer Instinct](http://i.imgur.com/vwUt4sn.jpg) | R | [PHY](/phy) | 4254 | 3039 | 3308 | DF +1500 when HP is 50% or above | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF")
[](#wc-19-2)|[Android #19 - Target Confirmed](http://i.imgur.com/ae8LsgV.jpg) | R | [STR](/str) | 4663 | 3704 | 2957 | Occasionally recover 25% of damage delivered | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF")
[](#wc-bardock)|[Bardock - Star-Crossed Fate](http://i.imgur.com/HGYeJX3.png) | R | [AGL](/agl) | 6324 | 3932 | 2399 | ATK +40% when facing two or more opponents | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Sibling](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Team Bardock](/r/DBZDokkanBattle/wiki/characters "Ki +1"), [Saiyan Pride](/r/DBZDokkanBattle/wiki/characters "ATK +15%")
[](#wc-borgos)|[Borgos - Warrior of Few Words](http://i.imgur.com/E5Vv760.jpg) | R | [STR](/str) | 5075 | 3903 | 2667 | ATK +30% when Ki meter is 8 or more | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Team Bardock](/r/DBZDokkanBattle/wiki/characters "Ki +1"), [Saiyan Pride](/r/DBZDokkanBattle/wiki/characters "ATK +15%"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%")
[](#wc-burter1)|[Burter - Speed Impulse](https://i.imgur.com/759Tdv1.jpg)| R | [AGL](/agl) | 5966 | 4056 | 2222 | Ki +3 when HP is 100% | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Speedy Retribution](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Tag Team of Terror](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-burter)|[Burter - Unfathomable Speed](http://i.imgur.com/HHvXJYg.jpg)| R | [AGL](/agl) | 4914 | 3777 | 2350 | Ki +1 at start of turn | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Speedy Retribution](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Tag Team of Terror](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-ginyu)|[Captain Ginyu - Captain's Merit](http://imgur.com/TPnYx4i)| R | [STR](/str) | 5147 | 3998 | 2702 | ATK +1000 for all allies when 3 attack in a row | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Gentleman](/r/DBZDokkanBattle/wiki/characters "+2 Ki"), [Respect](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-ginyu1)|[Captain Ginyu - Considerate Captain](http://i.imgur.com/GcUgJOx.jpg)| R | [INT](/int) | 5643 | 3450 | 3348 | HP +15% | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Gentleman](/r/DBZDokkanBattle/wiki/characters "+2 Ki"), [Respect](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-celljr1)|[Cell Jr. - Tiny Terror](http://i.imgur.com/GjKL4Ix.jpg)| R | [PHY](/phy) | 4118 | 3054 | 3995 | Damage reduced by 30% when guard is activated | [Attack of the Clones](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%"), [Kamehameha](/r/DBZDokkanBattle/wiki/characters "+2500 ATK when Super Attack is launched")
[](#wc-chiaotzu2)|[Chiaotzu - Daring Interception](http://i.imgur.com/jqbMzER.jpg) | R | [TEQ](/teq) | 4423 | 2958 | 2683 | Guard disabled when Ki meter is 5 or more | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Master and Pupil](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Telekinesis](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 10%"), [Courage](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
